Move,Link,Pokemon
"10,000,000 Volt Thunderbolt","/attackdex-sm/10,000,000voltthunderbolt.shtml",['Pikachu']
Absorb,/attackdex-sm/absorb.shtml,"['Zubat', 'Golbat', 'Oddish', 'Gloom', 'Vileplume', 'Paras', 'Parasect', 'Tangela', 'Kabuto', 'Kabutops', 'Spinarak', 'Ariados', 'Crobat', 'Hoppip', 'Skiploom', 'Jumpluff', 'Sunkern', 'Sunflora', 'Treecko', 'Grovyle', 'Sceptile', 'Beautifly', 'Lotad', 'Lombre', 'Shroomish', 'Breloom', 'Nincada', 'Ninjask', 'Shedinja', 'Roselia', 'Cacnea', 'Cacturne', 'Turtwig', 'Grotle', 'Torterra', 'Kricketune', 'Budew', 'Tangrowth', 'Cottonee', 'Petilil', 'Maractus', 'Foongus', 'Amoonguss', 'Frillish', 'Jellicent', 'Joltik', 'Galvantula', 'Shelmet', 'Accelgor', 'Larvesta', 'Volcarona', 'Goomy', 'Sliggoo', 'Goodra', 'Noibat', 'Noivern', 'Cutiefly', 'Ribombee', 'Morelull', 'Shiinotic', 'Sandygast', 'Palossand', 'Dhelmise', 'Celesteela']"
Accelerock,/attackdex-sm/accelerock.shtml,['Lycanroc']
Acid,/attackdex-sm/acid.shtml,"['Ekans', 'Arbok', 'Oddish', 'Gloom', 'Vileplume', 'Bellsprout', 'Weepinbell', 'Victreebel', 'Tentacool', 'Tentacruel', 'Lickitung', 'Lileep', 'Cradily', 'Seismitoad', 'Eelektrik', 'Eelektross', 'Shelmet', 'Skrelp', 'Dragalge', 'Nihilego', 'Poipole', 'Naganadel', 'Shuckle', 'Cacnea', 'Cacturne', 'Litwick', 'Lampent', 'Chandelure']"
Acid Armor,/attackdex-sm/acidarmor.shtml,"['Grimer', 'Muk', 'Vaporeon', 'Phione', 'Manaphy', 'Vanillite', 'Vanillish', 'Vanilluxe', 'Cryogonal', 'Shelmet', 'Meltan', 'Melmetal', 'Slugma', 'Magcargo', 'Gulpin', 'Swalot', 'Shellos', 'Gastrodon', 'Solosis', 'Duosion', 'Reuniclus', 'Frillish', 'Jellicent', 'Litwick', 'Lampent', 'Chandelure', 'Skrelp', 'Dragalge', 'Goomy', 'Sliggoo', 'Goodra']"
Acid Downpour,/attackdex-sm/aciddownpour.shtml,"['Bulbasaur', 'Ivysaur', 'Venusaur', 'Butterfree', 'Weedle', 'Kakuna', 'Beedrill', 'Rattata', 'Raticate', 'Ekans', 'Arbok', 'Sandshrew', 'Sandslash', 'Nidoran♀', 'Nidorina', 'Nidoqueen', 'Nidoran♂', 'Nidorino', 'Nidoking', 'Zubat', 'Golbat', 'Oddish', 'Gloom', 'Vileplume', 'Paras', 'Parasect', 'Venonat', 'Venomoth', 'Diglett', 'Dugtrio', 'Meowth', 'Persian', 'Psyduck', 'Golduck', 'Mankey', 'Primeape', 'Poliwrath', 'Machop', 'Machoke', 'Machamp', 'Bellsprout', 'Weepinbell', 'Victreebel', 'Tentacool', 'Tentacruel', 'Rapidash', 'Slowpoke', 'Slowbro', ""Farfetch'd"", 'Seel', 'Dewgong', 'Grimer', 'Muk', 'Cloyster', 'Gastly', 'Haunter', 'Gengar', 'Exeggcute', 'Exeggutor', 'Hitmonlee', 'Lickitung', 'Koffing', 'Weezing', 'Rhyhorn', 'Rhydon', 'Tangela', 'Horsea', 'Seadra', 'Goldeen', 'Seaking', 'Magmar', 'Flareon', 'Snorlax', 'Mewtwo', 'Mew', 'Spinarak', 'Ariados', 'Crobat', 'Bellossom', 'Aipom', 'Sunkern', 'Sunflora', 'Wooper', 'Quagsire', 'Slowking', 'Pineco', 'Forretress', 'Dunsparce', 'Gligar', 'Snubbull', 'Granbull', 'Qwilfish', 'Scizor', 'Shuckle', 'Heracross', 'Sneasel', 'Teddiursa', 'Ursaring', 'Slugma', 'Magcargo', 'Remoraid', 'Octillery', 'Delibird', 'Mantine', 'Houndour', 'Houndoom', 'Kingdra', 'Phanpy', 'Donphan', 'Magby', 'Miltank', 'Combusken', 'Blaziken', 'Mudkip', 'Marshtomp', 'Swampert', 'Poochyena', 'Mightyena', 'Zigzagoon', 'Linoone', 'Wurmple', 'Silcoon', 'Beautifly', 'Cascoon', 'Dustox', 'Pelipper', 'Shroomish', 'Breloom', 'Slakoth', 'Vigoroth', 'Slaking', 'Makuhita', 'Hariyama', 'Sableye', 'Mawile', 'Meditite', 'Medicham', 'Roselia', 'Gulpin', 'Swalot', 'Carvanha', 'Sharpedo', 'Wailmer', 'Wailord', 'Torkoal', 'Grumpig', 'Cacnea', 'Cacturne', 'Zangoose', 'Seviper', 'Whiscash', 'Corphish', 'Crawdaunt', 'Lileep', 'Cradily', 'Anorith', 'Armaldo', 'Castform', 'Shuppet', 'Banette', 'Metang', 'Metagross', 'Deoxys', 'Chimchar', 'Monferno', 'Infernape', 'Budew', 'Roserade', 'Wormadam', 'Mothim', 'Vespiquen', 'Pachirisu', 'Shellos', 'Gastrodon', 'Ambipom', 'Drifloon', 'Drifblim', 'Stunky', 'Skuntank', 'Garchomp', 'Munchlax', 'Riolu', 'Lucario', 'Skorupi', 'Drapion', 'Croagunk', 'Toxicroak', 'Carnivine', 'Weavile', 'Lickilicky', 'Rhyperior', 'Tangrowth', 'Magmortar', 'Gliscor', 'Gallade', 'Darkrai', 'Arceus', 'Tepig', 'Pignite', 'Emboar', 'Patrat', 'Watchog', 'Purrloin', 'Liepard', 'Pansage', 'Simisage', 'Pansear', 'Simisear', 'Panpour', 'Simipour', 'Drilbur', 'Excadrill', 'Timburr', 'Gurdurr', 'Conkeldurr', 'Tympole', 'Palpitoad', 'Seismitoad', 'Throh', 'Sawk', 'Leavanny', 'Venipede', 'Whirlipede', 'Scolipede', 'Sandile', 'Krokorok', 'Krookodile', 'Maractus', 'Dwebble', 'Crustle', 'Scraggy', 'Scrafty', 'Trubbish', 'Garbodor', 'Minccino', 'Cinccino', 'Karrablast', 'Escavalier', 'Foongus', 'Amoonguss', 'Frillish', 'Jellicent', 'Joltik', 'Galvantula', 'Ferroseed', 'Ferrothorn', 'Eelektrik', 'Eelektross', 'Litwick', 'Lampent', 'Chandelure', 'Axew', 'Fraxure', 'Haxorus', 'Cryogonal', 'Shelmet', 'Accelgor', 'Stunfisk', 'Mienfoo', 'Mienshao', 'Druddigon', 'Pawniard', 'Bisharp', 'Bouffalant', 'Heatmor', 'Deino', 'Zweilous', 'Hydreigon', 'Volcarona', 'Cobalion', 'Terrakion', 'Tornadus', 'Thundurus', 'Landorus', 'Keldeo', 'Genesect', 'Chespin', 'Quilladin', 'Chesnaught', 'Frogadier', 'Greninja', 'Bunnelby', 'Diggersby', 'Pancham', 'Pangoro', 'Binacle', 'Barbaracle', 'Skrelp', 'Dragalge', 'Clauncher', 'Clawitzer', 'Tyrunt', 'Tyrantrum', 'Hawlucha', 'Goomy', 'Sliggoo', 'Goodra', 'Phantump', 'Trevenant', 'Pumpkaboo', 'Gourgeist', 'Zygarde', 'Hoopa', 'Volcanion', 'Pikipek', 'Trumbeak', 'Toucannon', 'Grubbin', 'Charjabug', 'Vikavolt', 'Mareanie', 'Toxapex', 'Dewpider', 'Araquanid', 'Fomantis', 'Lurantis', 'Morelull', 'Shiinotic', 'Salandit', 'Salazzle', 'Passimian', 'Golisopod', 'Palossand', 'Silvally', 'Turtonator', 'Togedemaru', 'Bruxish', 'Dhelmise', 'Kommo-o', 'Nihilego', 'Buzzwole', 'Pheromosa', 'Guzzlord', 'Marshadow', 'Poipole', 'Naganadel']"
Acid Spray,/attackdex-sm/acidspray.shtml,"['Ekans', 'Arbok', 'Tentacool', 'Tentacruel', 'Grimer', 'Muk', 'Gulpin', 'Swalot', 'Stunky', 'Skuntank', 'Trubbish', 'Garbodor', 'Eelektrik', 'Accelgor', 'Nihilego', 'Bellsprout', 'Weepinbell', 'Victreebel', 'Wooper', 'Quagsire', 'Qwilfish', 'Remoraid', 'Octillery', 'Carnivine', 'Scraggy', 'Scrafty', 'Ferroseed', 'Ferrothorn']"
Acrobatics,/attackdex-sm/acrobatics.shtml,"[""Farfetch'd"", 'Hoppip', 'Skiploom', 'Jumpluff', 'Gligar', 'Chimchar', 'Monferno', 'Infernape', 'Gliscor', 'Pansage', 'Pansear', 'Panpour', 'Archen', 'Archeops', 'Emolga', 'Meloetta', 'Fletchling', 'Fletchinder', 'Talonflame', 'Grubbin', 'Charjabug', 'Vikavolt', 'Butterfree', 'Beedrill', 'Zubat', 'Golbat', 'Venomoth', 'Mankey', 'Primeape', 'Mew', 'Ledyba', 'Ledian', 'Crobat', 'Aipom', 'Scizor', 'Mantine', 'Treecko', 'Grovyle', 'Sceptile', 'Blaziken', 'Beautifly', 'Dustox', 'Volbeat', 'Illumise', 'Lunatone', 'Solrock', 'Mothim', 'Vespiquen', 'Ambipom', 'Drifloon', 'Drifblim', 'Mantyke', 'Uxie', 'Mesprit', 'Azelf', 'Simisage', 'Simisear', 'Simipour', 'Woobat', 'Swoobat', 'Eelektrik', 'Eelektross', 'Cryogonal', 'Mienfoo', 'Mienshao', 'Hydreigon', 'Larvesta', 'Volcarona', 'Tornadus', 'Froakie', 'Frogadier', 'Greninja', 'Vivillon', 'Hawlucha', 'Noibat', 'Noivern', 'Yveltal', 'Decidueye', 'Litten', 'Torracat', 'Incineroar', 'Popplio', 'Brionne', 'Primarina', 'Oricorio', 'Cutiefly', 'Ribombee', 'Salazzle', 'Tsareena', 'Comfey', 'Passimian', 'Minior', 'Komala', 'Tapu Koko', 'Lunala', 'Celesteela', 'Marshadow', 'Naganadel', 'Zeraora']"
Acupressure,/attackdex-sm/acupressure.shtml,"['Doduo', 'Dodrio', 'Meditite', 'Medicham', 'Skorupi', 'Drapion', 'Maractus', 'Tentacool', 'Tentacruel', 'Shuckle', 'Croagunk', 'Toxicroak', 'Bounsweet', 'Steenee', 'Tsareena']"
Aerial Ace,/attackdex-sm/aerialace.shtml,"['Spearow', 'Fearow', ""Farfetch'd"", 'Heracross', 'Taillow', 'Swellow', 'Wingull', 'Starly', 'Staravia', 'Staraptor', 'Gallade', 'Ducklett', 'Swanna', 'Rufflet', 'Braviary', 'Gogoat', 'Honedge', 'Doublade', 'Aegislash', 'Hawlucha', 'Type: Null', 'Silvally', 'Kartana', 'Charmander', 'Charmeleon', 'Charizard', 'Butterfree', 'Beedrill', 'Pidgey', 'Pidgeotto', 'Pidgeot', 'Sandshrew', 'Sandslash', 'Nidoran♀', 'Nidorina', 'Nidoqueen', 'Zubat', 'Golbat', 'Paras', 'Parasect', 'Venomoth', 'Diglett', 'Dugtrio', 'Meowth', 'Persian', 'Psyduck', 'Golduck', 'Mankey', 'Primeape', 'Growlithe', 'Arcanine', 'Slowbro', 'Doduo', 'Dodrio', 'Cubone', 'Marowak', 'Kangaskhan', 'Mr. Mime', 'Scyther', 'Porygon', 'Kabuto', 'Kabutops', 'Aerodactyl', 'Articuno', 'Zapdos', 'Moltres', 'Dragonite', 'Mewtwo', 'Mew', 'Cyndaquil', 'Quilava', 'Typhlosion', 'Totodile', 'Croconaw', 'Feraligatr', 'Hoothoot', 'Noctowl', 'Ledyba', 'Ledian', 'Crobat', 'Togetic', 'Natu', 'Xatu', 'Hoppip', 'Skiploom', 'Jumpluff', 'Aipom', 'Yanma', 'Murkrow', 'Misdreavus', 'Gligar', 'Scizor', 'Sneasel', 'Teddiursa', 'Ursaring', 'Delibird', 'Mantine', 'Skarmory', 'Porygon2', 'Hitmontop', 'Tyranitar', 'Lugia', 'Ho-Oh', 'Celebi', 'Treecko', 'Grovyle', 'Sceptile', 'Torchic', 'Combusken', 'Blaziken', 'Beautifly', 'Dustox', 'Shiftry', 'Pelipper', 'Masquerain', 'Slakoth', 'Vigoroth', 'Slaking', 'Nincada', 'Ninjask', 'Shedinja', 'Sableye', 'Aron', 'Lairon', 'Aggron', 'Volbeat', 'Illumise', 'Flygon', 'Swablu', 'Altaria', 'Zangoose', 'Corphish', 'Crawdaunt', 'Anorith', 'Armaldo', 'Kecleon', 'Tropius', 'Absol', 'Bagon', 'Shelgon', 'Salamence', 'Metang', 'Metagross', 'Registeel', 'Latias', 'Latios', 'Groudon', 'Rayquaza', 'Jirachi', 'Deoxys', 'Chimchar', 'Monferno', 'Infernape', 'Piplup', 'Prinplup', 'Empoleon', 'Kricketune', 'Mothim', 'Vespiquen', 'Ambipom', 'Mismagius', 'Honchkrow', 'Glameow', 'Purugly', 'Chatot', 'Gible', 'Gabite', 'Garchomp', 'Skorupi', 'Drapion', 'Mantyke', 'Weavile', 'Tangrowth', 'Togekiss', 'Yanmega', 'Leafeon', 'Gliscor', 'Porygon-Z', 'Dialga', 'Palkia', 'Regigigas', 'Giratina', 'Darkrai', 'Arceus', 'Snivy', 'Servine', 'Serperior', 'Oshawott', 'Dewott', 'Samurott', 'Lillipup', 'Herdier', 'Stoutland', 'Purrloin', 'Liepard', 'Pidove', 'Tranquill', 'Unfezant', 'Woobat', 'Swoobat', 'Drilbur', 'Excadrill', 'Leavanny', 'Krookodile', 'Maractus', 'Dwebble', 'Crustle', 'Sigilyph', 'Archen', 'Archeops', 'Zorua', 'Zoroark', 'Emolga', 'Karrablast', 'Escavalier', 'Ferrothorn', 'Axew', 'Fraxure', 'Haxorus', 'Cubchoo', 'Beartic', 'Mienfoo', 'Mienshao', 'Druddigon', 'Pawniard', 'Bisharp', 'Bouffalant', 'Vullaby', 'Mandibuzz', 'Heatmor', 'Durant', 'Volcarona', 'Cobalion', 'Terrakion', 'Virizion', 'Tornadus', 'Keldeo', 'Genesect', 'Chespin', 'Quilladin', 'Chesnaught', 'Froakie', 'Frogadier', 'Greninja', 'Fletchling', 'Fletchinder', 'Talonflame', 'Vivillon', 'Pancham', 'Pangoro', 'Inkay', 'Malamar', 'Binacle', 'Barbaracle', 'Tyrunt', 'Tyrantrum', 'Dedenne', 'Noibat', 'Noivern', 'Yveltal', 'Pikipek', 'Trumbeak', 'Toucannon', 'Oricorio', 'Cutiefly', 'Ribombee', 'Lurantis', 'Stufful', 'Bewear', 'Passimian', 'Golisopod', 'Bruxish', 'Dhelmise', 'Jangmo-o', 'Hakamo-o', 'Kommo-o', 'Tapu Koko', 'Lunala', 'Necrozma', 'Naganadel', 'Zeraora']"
